Messy Descriptor,Merchant Name,Label,Generated By
ALDI*456-USA,Aldi USA Store 456,MATCH,ChatGPT-4.1
Aldi St. 456 US,Aldi USA Store 456,MATCH,ChatGPT-4.1
ALDI USA#STR456,Aldi USA Store 456,MATCH,ChatGPT-4.1
ALDI-STR456-USA,Aldi USA Store 456,MATCH,ChatGPT-4.1
ALDI*USA 456,Aldi USA Store 456,MATCH,ChatGPT-4.1
WLS FRGO CND,Wells Fargo Canada,MATCH,ChatGPT-4.1
WELLS*FARGO-CAN,Wells Fargo Canada,MATCH,ChatGPT-4.1
WELLS FARGO#CANADA,Wells Fargo Canada,MATCH,ChatGPT-4.1
WLS-FARGO/CAN,Wells Fargo Canada,MATCH,ChatGPT-4.1
WELLS FRGO CND123,Wells Fargo Canada,MATCH,ChatGPT-4.1
AIRBNB BKG CHI,Airbnb Booking Chicago,MATCH,ChatGPT-4.1
Airbnb*BKG#Chicago,Airbnb Booking Chicago,MATCH,ChatGPT-4.1
AIRBNB-BOOKG CHICAGO US,Airbnb Booking Chicago,MATCH,ChatGPT-4.1
AIRBNB CHGO BOOKING,Airbnb Booking Chicago,MATCH,ChatGPT-4.1
AIRBNB*BKNG/CHI IL,Airbnb Booking Chicago,MATCH,ChatGPT-4.1
SPTFY FMLYPLN CND,Spotify Family Plan Canada,MATCH,ChatGPT-4.1
Spotify*FamPlan CAN,Spotify Family Plan Canada,MATCH,ChatGPT-4.1
SPOTIFY FAMILY-PLAN#CA,Spotify Family Plan Canada,MATCH,ChatGPT-4.1
SPTFY FMLY PLN CANDA,Spotify Family Plan Canada,MATCH,ChatGPT-4.1
Spotify-Fam. Plan/CAN,Spotify Family Plan Canada,MATCH,ChatGPT-4.1
SPTFY-DuoPlan #3124 SWE,Spotify Duo Plan,MATCH,ChatGPT-4.1
Spotify*DuoPlan CAN 08,Spotify Duo Plan,MATCH,ChatGPT-4.1
SPOTY DUO-PLN*Store12,Spotify Duo Plan,MATCH,ChatGPT-4.1
DuoPlan Spotify -US-,Spotify Duo Plan,MATCH,ChatGPT-4.1
SPTF-DuoPlan TOR#99,Spotify Duo Plan,MATCH,ChatGPT-4.1
ROYALBK INTL * #212,Royal Bank International,MATCH,ChatGPT-4.1
Ryl Bank Intl-GBR,Royal Bank International,MATCH,ChatGPT-4.1
RoyalBnkIntl*CANADA,Royal Bank International,MATCH,ChatGPT-4.1
Int'l RoyalBk STORE09,Royal Bank International,MATCH,ChatGPT-4.1
ROYLBNK INTL-LON@23,Royal Bank International,MATCH,ChatGPT-4.1
Netflx Subs CAN #443,Netflix Subscription Canada,MATCH,ChatGPT-4.1
NetflixSubscriptn*CA-12,Netflix Subscription Canada,MATCH,ChatGPT-4.1
NETFLIX-SUBS *CANADA,Netflix Subscription Canada,MATCH,ChatGPT-4.1
Nflx-Subscrip CAN#009,Netflix Subscription Canada,MATCH,ChatGPT-4.1
NETFLIX SUBSCPTN CND,Netflix Subscription Canada,MATCH,ChatGPT-4.1
PZZ HUT NY 789*,Pizza Hut New York Store 789,MATCH,ChatGPT-4.1
PizzaHut*Store789 NYC,Pizza Hut New York Store 789,MATCH,ChatGPT-4.1
PIZZA HUT #789-NEWYORK,Pizza Hut New York Store 789,MATCH,ChatGPT-4.1
PZHUT NY STORE-789*,Pizza Hut New York Store 789,MATCH,ChatGPT-4.1
PIZZA-HUT N.Y. 789,Pizza Hut New York Store 789,MATCH,ChatGPT-4.1
RoyalBk TOR#88,Royal Bank Toronto,MATCH,ChatGPT-4.1
RYLBNK TORONTO-001,Royal Bank Toronto,MATCH,ChatGPT-4.1
ROYAL-BANK Trnt*CA,Royal Bank Toronto,MATCH,ChatGPT-4.1
Ryl Bank*Toronto Store 5,Royal Bank Toronto,MATCH,ChatGPT-4.1
ROYLBK TOR-ON@32,Royal Bank Toronto,MATCH,ChatGPT-4.1
Nflx-Subs TOR-CA,Netflix Subscription Toronto,MATCH,ChatGPT-4.1
Netflix*Subscrptn Toronto 004,Netflix Subscription Toronto,MATCH,ChatGPT-4.1
NETFLX SUBSCRIPTION TOR#22,Netflix Subscription Toronto,MATCH,ChatGPT-4.1
NETFLIXSUB TOR*,Netflix Subscription Toronto,MATCH,ChatGPT-4.1
NETFLIXSUBS-TORONTO CA,Netflix Subscription Toronto,MATCH,ChatGPT-4.1
UBER EATS VAN-BC,Uber Eats Vancouver,MATCH,ChatGPT-4.1
UberEts Vancvr #59,Uber Eats Vancouver,MATCH,ChatGPT-4.1
UBER*EATS VANCOUVER*,Uber Eats Vancouver,MATCH,ChatGPT-4.1
UBREATS-VANCOUVER 04,Uber Eats Vancouver,MATCH,ChatGPT-4.1
UBR ETS VAN-CA,Uber Eats Vancouver,MATCH,ChatGPT-4.1
SQ*OnlineSrvcs,Square Online Services,MATCH,ChatGPT-4.1
SQUARE-ONLINE SERV*US,Square Online Services,MATCH,ChatGPT-4.1
Sq OnlineSrvs #003,Square Online Services,MATCH,ChatGPT-4.1
SQ ONLINE SVC@CA,Square Online Services,MATCH,ChatGPT-4.1
SquareOnlne*Service,Square Online Services,MATCH,ChatGPT-4.1
KRSPY-KRME US*ST 17,Krispy Kreme US Store,MATCH,ChatGPT-4.1
Krispy Kreme US Store #12,Krispy Kreme US Store,MATCH,ChatGPT-4.1
KRSPYKRME US-STORE*,Krispy Kreme US Store,MATCH,ChatGPT-4.1
KRISPY KRME USSTRE 8,Krispy Kreme US Store,MATCH,ChatGPT-4.1
KRISPY KREME*US STR,Krispy Kreme US Store,MATCH,ChatGPT-4.1
RedLobstr TOR#66,Red Lobster Toronto,MATCH,ChatGPT-4.1
RED LOBSTER-TORONTO*,Red Lobster Toronto,MATCH,ChatGPT-4.1
Red Lobster*Toronto ON,Red Lobster Toronto,MATCH,ChatGPT-4.1
REDLBSR Toronto-07,Red Lobster Toronto,MATCH,ChatGPT-4.1
REDLOBSTER TOR*CAN,Red Lobster Toronto,MATCH,ChatGPT-4.1
SPTFY-STUDNT PLN*US01,Spotify Student Plan,MATCH,ChatGPT-4.1
SpotifyStudPlan #NYC,Spotify Student Plan,MATCH,ChatGPT-4.1
*SPOTFYSTDNTP US,Spotify Student Plan,MATCH,ChatGPT-4.1
Spotify-Student Plan 001-SF,Spotify Student Plan,MATCH,ChatGPT-4.1
SPTFY STDT PLN – CA,Spotify Student Plan,MATCH,ChatGPT-4.1
WLLS FRGO Bnk*123LA,Wells Fargo Bank,MATCH,ChatGPT-4.1
WELLS-FRG#NY,Wells Fargo Bank,MATCH,ChatGPT-4.1
WELLSFARGO 002 TX,Wells Fargo Bank,MATCH,ChatGPT-4.1
WELS FRG Bnk –*SF,Wells Fargo Bank,MATCH,ChatGPT-4.1
WFBANK*US-1100,Wells Fargo Bank,MATCH,ChatGPT-4.1
PNRA BRD*ST CALGARY AB,Panera Bread Store Calgary,MATCH,ChatGPT-4.1
PaneraStore-YYC#12,Panera Bread Store Calgary,MATCH,ChatGPT-4.1
PANERA-BRD CALGAR 101,Panera Bread Store Calgary,MATCH,ChatGPT-4.1
PNRBRD*CALGRY CAN,Panera Bread Store Calgary,MATCH,ChatGPT-4.1
PANRA-BREAD Calgary*CA,Panera Bread Store Calgary,MATCH,ChatGPT-4.1
CHKFLA*TXSTR#05,Chick-fil-A Texas Store,MATCH,ChatGPT-4.1
ChickfilA-TX 1132,Chick-fil-A Texas Store,MATCH,ChatGPT-4.1
Chik-FilA STORE TX*US,Chick-fil-A Texas Store,MATCH,ChatGPT-4.1
CHCKFLA TXS*ST#07,Chick-fil-A Texas Store,MATCH,ChatGPT-4.1
Chick-A-Fil Texas - #998,Chick-fil-A Texas Store,MATCH,ChatGPT-4.1
AMZN US MRKTPLC*123,Amazon US Marketplace,MATCH,ChatGPT-4.1
Amazon-MRKTPLC/US,Amazon US Marketplace,MATCH,ChatGPT-4.1
AMZ USMARK#TX,Amazon US Marketplace,MATCH,ChatGPT-4.1
AMZ-MKTPLC US-01,Amazon US Marketplace,MATCH,ChatGPT-4.1
AMZN MRKPLC*US CA,Amazon US Marketplace,MATCH,ChatGPT-4.1
McDnlds-STRE MIA#09,McDonald's Store Miami,MATCH,ChatGPT-4.1
MCDONALD'S*MIAMI FL,McDonald's Store Miami,MATCH,ChatGPT-4.1
McD Store Miami 112,McDonald's Store Miami,MATCH,ChatGPT-4.1
MCD-STORE*MIAMI,McDonald's Store Miami,MATCH,ChatGPT-4.1
MCDNLD MIAMI*FL#01,McDonald's Store Miami,MATCH,ChatGPT-4.1
LYFT*RIDE#DAL 221,Lyft Ride Dallas,MATCH,ChatGPT-4.1
LyftRide DALLAS/TX,Lyft Ride Dallas,MATCH,ChatGPT-4.1
LYFT-RD*DAL#08,Lyft Ride Dallas,MATCH,ChatGPT-4.1
LYFT DAL Ride*US,Lyft Ride Dallas,MATCH,ChatGPT-4.1
LYFT*DALLS RDE TX,Lyft Ride Dallas,MATCH,ChatGPT-4.1
KRSPY KRM-ST CHLT#07,Krispy Kreme Charlotte Store,MATCH,ChatGPT-4.1
KrispyKreme CHARLTT 102,Krispy Kreme Charlotte Store,MATCH,ChatGPT-4.1
KRSPYKRME*CHRLTT ST,Krispy Kreme Charlotte Store,MATCH,ChatGPT-4.1
KRSPY-KRM CHRLT*US,Krispy Kreme Charlotte Store,MATCH,ChatGPT-4.1
KRSPI KRM STOR CLT#05,Krispy Kreme Charlotte Store,MATCH,ChatGPT-4.1
CNMRK INT-THTR*US,Cinemark International Theatres,MATCH,ChatGPT-4.1
CinemarkIntlTheatre #002,Cinemark International Theatres,MATCH,ChatGPT-4.1
CNMARK-INT THEATRE*NY,Cinemark International Theatres,MATCH,ChatGPT-4.1
CINEMARK THEATR INTL*CA,Cinemark International Theatres,MATCH,ChatGPT-4.1
CNMRK-INTL*THTR 09US,Cinemark International Theatres,MATCH,ChatGPT-4.1
SQR INTL-SVC#US1,Square International Services,MATCH,ChatGPT-4.1
SquareIntlSvcs*CA,Square International Services,MATCH,ChatGPT-4.1
SQR-INT SVC 003 UK,Square International Services,MATCH,ChatGPT-4.1
SQUARE INT SVC/US,Square International Services,MATCH,ChatGPT-4.1
SQR INTL*SERV#12,Square International Services,MATCH,ChatGPT-4.1
KFC#345-KY*,KFC Kentucky Store 345,MATCH,ChatGPT-4.1
Kentucky Fd Co 345*,KFC Kentucky Store 345,MATCH,ChatGPT-4.1
KFC Store 345 LEXINGTON,KFC Kentucky Store 345,MATCH,ChatGPT-4.1
KFC KY-345-USA,KFC Kentucky Store 345,MATCH,ChatGPT-4.1
KENTUCKY*345KFC,KFC Kentucky Store 345,MATCH,ChatGPT-4.1
UBR*RIDE-NYC,Uber Ride NYC,MATCH,ChatGPT-4.1
UberRides#NewYork,Uber Ride NYC,MATCH,ChatGPT-4.1
UBER-NYC-01,Uber Ride NYC,MATCH,ChatGPT-4.1
UBER* NYC RIDE,Uber Ride NYC,MATCH,ChatGPT-4.1
Ubrride NY*,Uber Ride NYC,MATCH,ChatGPT-4.1
TD-CANTRST Bnk #001,TD Canada Trust Bank,MATCH,ChatGPT-4.1
TDCanadaTrst-TOR,TD Canada Trust Bank,MATCH,ChatGPT-4.1
TD CAN TRST BNK CA*,TD Canada Trust Bank,MATCH,ChatGPT-4.1
T.D. Trust Cd-Bank,TD Canada Trust Bank,MATCH,ChatGPT-4.1
TD*CAN-TRST,TD Canada Trust Bank,MATCH,ChatGPT-4.1
OLV GRDN CAN*,Olive Garden Canada,MATCH,ChatGPT-4.1
OlvGarden-CAN#122,Olive Garden Canada,MATCH,ChatGPT-4.1
OLIVE-GARDEN CA,Olive Garden Canada,MATCH,ChatGPT-4.1
Olv Gdn#CANADA,Olive Garden Canada,MATCH,ChatGPT-4.1
OLIVEGARDN-CAN,Olive Garden Canada,MATCH,ChatGPT-4.1
KFC VAN#678,KFC Store Vancouver,MATCH,ChatGPT-4.1
KFCStore-Vancouver*,KFC Store Vancouver,MATCH,ChatGPT-4.1
KFC-VAN BC,KFC Store Vancouver,MATCH,ChatGPT-4.1
KFC*Store-VANC,KFC Store Vancouver,MATCH,ChatGPT-4.1
KFC VANCOUVER CA*,KFC Store Vancouver,MATCH,ChatGPT-4.1
CHEVRN STN FL#12,Chevron Station Florida,MATCH,ChatGPT-4.1
Chevron-Station FLA,Chevron Station Florida,MATCH,ChatGPT-4.1
CHEV*STN-FL,Chevron Station Florida,MATCH,ChatGPT-4.1
CHVRN FLORIDA*,Chevron Station Florida,MATCH,ChatGPT-4.1
ChevronStnFL-002,Chevron Station Florida,MATCH,ChatGPT-4.1
DOMNS PZA SF*,Domino's Pizza San Francisco,MATCH,ChatGPT-4.1
DominoesPizza-SanFran,Domino's Pizza San Francisco,MATCH,ChatGPT-4.1
Domino's SF-CA#7,Domino's Pizza San Francisco,MATCH,ChatGPT-4.1
DOMN PZ*SFCA,Domino's Pizza San Francisco,MATCH,ChatGPT-4.1
DOMINO'S-SF,Domino's Pizza San Francisco,MATCH,ChatGPT-4.1
STBKS SDG CA*,Starbucks Coffee San Diego,MATCH,ChatGPT-4.1
Starbks-Coffee#SD,Starbucks Coffee San Diego,MATCH,ChatGPT-4.1
STARBUCKS COF -SANDIEGO,Starbucks Coffee San Diego,MATCH,ChatGPT-4.1
Starbucks*San Dgo,Starbucks Coffee San Diego,MATCH,ChatGPT-4.1
STRBK SD CA,Starbucks Coffee San Diego,MATCH,ChatGPT-4.1
HOMEDEPOT INTL*,Home Depot International,MATCH,ChatGPT-4.1
Home-Dpt Intl,Home Depot International,MATCH,ChatGPT-4.1
HME DPT-INTERNAT,Home Depot International,MATCH,ChatGPT-4.1
HOMEDEPO*INTL#1,Home Depot International,MATCH,ChatGPT-4.1
HOMEDPT INT,Home Depot International,MATCH,ChatGPT-4.1
Venmo*IntPay,Venmo International Payments,MATCH,ChatGPT-4.1
VENMO INTPYMTS#,Venmo International Payments,MATCH,ChatGPT-4.1
VENMO-Intl Pay,Venmo International Payments,MATCH,ChatGPT-4.1
VNMO INTL*PMT,Venmo International Payments,MATCH,ChatGPT-4.1
Venmo-INTL-Payment,Venmo International Payments,MATCH,ChatGPT-4.1
"SAFEWY INTL GROC #0042, NY",Safeway International Grocery,MATCH,ChatGPT-4.1
Safway Intl Groc*SanFrancisco US,Safeway International Grocery,MATCH,ChatGPT-4.1
SAFEWAY-INTL*GROCERY 3421,Safeway International Grocery,MATCH,ChatGPT-4.1
SFWY INTL GRCRY - LA,Safeway International Grocery,MATCH,ChatGPT-4.1
Safeway IntlGrcy*CA021,Safeway International Grocery,MATCH,ChatGPT-4.1
Exxn Stn HSTN*TX 1782,Exxon Station Houston,MATCH,ChatGPT-4.1
EXONSTATN #332 Houston,Exxon Station Houston,MATCH,ChatGPT-4.1
Exxon-Sta Houston TX*,Exxon Station Houston,MATCH,ChatGPT-4.1
EXXON STN HOU-0237,Exxon Station Houston,MATCH,ChatGPT-4.1
EXXNSTATN*HOU.US,Exxon Station Houston,MATCH,ChatGPT-4.1
ALDI GRCRY STR DLS#119,Aldi Grocery Store Dallas,MATCH,ChatGPT-4.1
Aldi*Groc-Store Dallas TX,Aldi Grocery Store Dallas,MATCH,ChatGPT-4.1
ALDI GRCRY ST DALLS US,Aldi Grocery Store Dallas,MATCH,ChatGPT-4.1
ALDI GROCSTR DAL #0458,Aldi Grocery Store Dallas,MATCH,ChatGPT-4.1
AldiGrcy Dalas-TX,Aldi Grocery Store Dallas,MATCH,ChatGPT-4.1
SHOPFY-CND SALES*,Shopify Canada Sales,MATCH,ChatGPT-4.1
Shopify CND Sales#2201,Shopify Canada Sales,MATCH,ChatGPT-4.1
SHOPIFYSALES CANADA-CA,Shopify Canada Sales,MATCH,ChatGPT-4.1
SHOPFY*Sales CA,Shopify Canada Sales,MATCH,ChatGPT-4.1
SHPFY CAN-SALES,Shopify Canada Sales,MATCH,ChatGPT-4.1
EBY TOYS&GMS USA*,eBay Toys & Games USA,MATCH,ChatGPT-4.1
Ebay-ToysGames US #301,eBay Toys & Games USA,MATCH,ChatGPT-4.1
eBay*\*Toys Games USA,eBay Toys & Games USA,MATCH,ChatGPT-4.1
EBY TOYSGM US 0198,eBay Toys & Games USA,MATCH,ChatGPT-4.1
EBAY TOYS-GAMES USA*,eBay Toys & Games USA,MATCH,ChatGPT-4.1
SAFWY GROC VCNR #6712,Safeway Grocery Vancouver,MATCH,ChatGPT-4.1
SAFEWAY-GROCERY VANCOUVER,Safeway Grocery Vancouver,MATCH,ChatGPT-4.1
Safway Groc*Vancvr CA,Safeway Grocery Vancouver,MATCH,ChatGPT-4.1
SAFWYGRCRY*Vancouver,Safeway Grocery Vancouver,MATCH,ChatGPT-4.1
SAFEWAY GRCY VAN##,Safeway Grocery Vancouver,MATCH,ChatGPT-4.1
AMC THRTRS LA-045,AMC Theatres Los Angeles,MATCH,ChatGPT-4.1
AMC THEATRE*LOSANGELS CA,AMC Theatres Los Angeles,MATCH,ChatGPT-4.1
AMC-THR LOSA #2387,AMC Theatres Los Angeles,MATCH,ChatGPT-4.1
AMC Theatrs*LA.CA,AMC Theatres Los Angeles,MATCH,ChatGPT-4.1
AMC THRTRS*LA_USA,AMC Theatres Los Angeles,MATCH,ChatGPT-4.1
CRCL K GAS STN PHX #112,Circle K Gas Station Phoenix,MATCH,ChatGPT-4.1
CircleK*GSSTN Phoenix AZ,Circle K Gas Station Phoenix,MATCH,ChatGPT-4.1
CRCL-K GAS PHX 5840,Circle K Gas Station Phoenix,MATCH,ChatGPT-4.1
CIRCL K GS STN PHNX,Circle K Gas Station Phoenix,MATCH,ChatGPT-4.1
Circle-K*Gas Stat PHX,Circle K Gas Station Phoenix,MATCH,ChatGPT-4.1
PEETSCOFY NY-342,Peet's Coffee New York,MATCH,ChatGPT-4.1
Peets Coffee*NYC #4202,Peet's Coffee New York,MATCH,ChatGPT-4.1
PEETSCOF-NY.US,Peet's Coffee New York,MATCH,ChatGPT-4.1
PEET'S COFY NEWYORK,Peet's Coffee New York,MATCH,ChatGPT-4.1
PEETS*COFFEE NY##,Peet's Coffee New York,MATCH,ChatGPT-4.1
VENMO INTL PMT*,Venmo International Payments,MATCH,ChatGPT-4.1
Venmo*Int Paymnts-US,Venmo International Payments,MATCH,ChatGPT-4.1
VENMO-INTL*PAY 4021,Venmo International Payments,MATCH,ChatGPT-4.1
VNMO INTL PAYMENTS,Venmo International Payments,MATCH,ChatGPT-4.1
VENMO*INTRNTL PAY#,Venmo International Payments,MATCH,ChatGPT-4.1
ArbnbBKG*CHI#2098,Airbnb Booking Chicago,MATCH,ChatGPT-4.1
AIRBNBBOOK CHGO-US,Airbnb Booking Chicago,MATCH,ChatGPT-4.1
AIBNB*BOOKING-CHICAGO IL,Airbnb Booking Chicago,MATCH,ChatGPT-4.1
Airbnb-Bking/Chicago*312,Airbnb Booking Chicago,MATCH,ChatGPT-4.1
AIRBNB CHICAGO BKNG 9982,Airbnb Booking Chicago,MATCH,ChatGPT-4.1
TRADERJOES INTL*0921,Trader Joe's International,MATCH,ChatGPT-4.1
TRDRJOES*INTER#UK,Trader Joe's International,MATCH,ChatGPT-4.1
TRADER JOE'S-INTERNAT'L-CA,Trader Joe's International,MATCH,ChatGPT-4.1
TraderJoes Intl LON*884,Trader Joe's International,MATCH,ChatGPT-4.1
TRD JOE'S/INTER-1234,Trader Joe's International,MATCH,ChatGPT-4.1
TGT INTSTORE*CA 0021,Target International Store,MATCH,ChatGPT-4.1
TARGET-INTNLSTORE UK,Target International Store,MATCH,ChatGPT-4.1
TRGET INTRNL STR#5678,Target International Store,MATCH,ChatGPT-4.1
TARGET STORE INTL*NY,Target International Store,MATCH,ChatGPT-4.1
TAR-GET*INT STORE 4891,Target International Store,MATCH,ChatGPT-4.1
TEXACO-GAS STN CHI*003,Texaco Gas Station Chicago,MATCH,ChatGPT-4.1
TEXCO GAS#STATION - CHICAGO,Texaco Gas Station Chicago,MATCH,ChatGPT-4.1
TEXACO/CHICAGO*STN 888,Texaco Gas Station Chicago,MATCH,ChatGPT-4.1
TEXACO GAS*STATION-IL,Texaco Gas Station Chicago,MATCH,ChatGPT-4.1
TEXACO*GAS-CHI#2211,Texaco Gas Station Chicago,MATCH,ChatGPT-4.1
STRBX*STORE SEA#0031,Starbucks Store Seattle,MATCH,ChatGPT-4.1
STARBUX-SEA*STORE 171,Starbucks Store Seattle,MATCH,ChatGPT-4.1
STARBUCKS/SEATTLE-STORE,Starbucks Store Seattle,MATCH,ChatGPT-4.1
STARBKS STORE*SEA 55,Starbucks Store Seattle,MATCH,ChatGPT-4.1
STARBUCKS*STORE-SEATL#907,Starbucks Store Seattle,MATCH,ChatGPT-4.1
RBC*CANADA#0012,Royal Bank of Canada,MATCH,ChatGPT-4.1
ROYALBK CND*BR#999,Royal Bank of Canada,MATCH,ChatGPT-4.1
ROYAL BANK-CDN 4432,Royal Bank of Canada,MATCH,ChatGPT-4.1
ROYAL-BANK/CANADA*9988,Royal Bank of Canada,MATCH,ChatGPT-4.1
R.B.C.-CAN*124,Royal Bank of Canada,MATCH,ChatGPT-4.1
EBA FSHN*CAN#347,eBay Fashion Canada,MATCH,ChatGPT-4.1
EBAY-FASHION CDN 0451,eBay Fashion Canada,MATCH,ChatGPT-4.1
EBY*FASHION/CANADA,eBay Fashion Canada,MATCH,ChatGPT-4.1
EBAYFASHN CANADA-3028,eBay Fashion Canada,MATCH,ChatGPT-4.1
E-BAY*FASHION CA 876,eBay Fashion Canada,MATCH,ChatGPT-4.1
CHVRN FUEL-ATL#39,Chevron Fuel Station Atlanta,MATCH,ChatGPT-4.1
CHEVRON-STN ATL*GA 023,Chevron Fuel Station Atlanta,MATCH,ChatGPT-4.1
CHEVRON*FUEL STATION ATL,Chevron Fuel Station Atlanta,MATCH,ChatGPT-4.1
CHEV FUEL#ATLANTA 8821,Chevron Fuel Station Atlanta,MATCH,ChatGPT-4.1
CHVRO*N FUEL/ATL#77,Chevron Fuel Station Atlanta,MATCH,ChatGPT-4.1
PAPAJOHN US*STR#440,Papa John's US Store,MATCH,ChatGPT-4.1
PPA JHNS*STORE-US 21,Papa John's US Store,MATCH,ChatGPT-4.1
PAPAJOHN'S STORE/USA*002,Papa John's US Store,MATCH,ChatGPT-4.1
PAPA JOHNS*US-STR 1099,Papa John's US Store,MATCH,ChatGPT-4.1
PAPA JN'S/US STORE*199,Papa John's US Store,MATCH,ChatGPT-4.1
SHOPFY-CAN SALES#93,Shopify Canada Sales,MATCH,ChatGPT-4.1
SHOPIFY SALES*CANADA 411,Shopify Canada Sales,MATCH,ChatGPT-4.1
SHOPFY*CAN*SALES-2024,Shopify Canada Sales,MATCH,ChatGPT-4.1
SHOPIFY*CDN SALES#002,Shopify Canada Sales,MATCH,ChatGPT-4.1
SHOPIFY SALES/CAN 889,Shopify Canada Sales,MATCH,ChatGPT-4.1
TD CAN TRST #034 TORONTO,TD Canada Trust Bank,MATCH,ChatGPT-4.1
TD-CanadaTrustBnk*ON,TD Canada Trust Bank,MATCH,ChatGPT-4.1
TD CND TRST BANK-CA**,TD Canada Trust Bank,MATCH,ChatGPT-4.1
TD CANADA TRUST BANK 1234,TD Canada Trust Bank,MATCH,ChatGPT-4.1
TDCANTRSTBANK TOR#99,TD Canada Trust Bank,MATCH,ChatGPT-4.1
PANERA*BRD BOSTN 890,Panera Bread Boston Store 890,MATCH,ChatGPT-4.1
Pnra Brd #890 Boston,Panera Bread Boston Store 890,MATCH,ChatGPT-4.1
BOSTON PANERA BRD-890,Panera Bread Boston Store 890,MATCH,ChatGPT-4.1
PANERA-BREAD*ST890 BOS,Panera Bread Boston Store 890,MATCH,ChatGPT-4.1
PNR BRD BOSTON890*,Panera Bread Boston Store 890,MATCH,ChatGPT-4.1
AMZN GROCRY US*,Amazon Grocery US,MATCH,ChatGPT-4.1
AMZ GROC-USA,Amazon Grocery US,MATCH,ChatGPT-4.1
AMZN-GROCERY #9382,Amazon Grocery US,MATCH,ChatGPT-4.1
AMAZON GRO US*223,Amazon Grocery US,MATCH,ChatGPT-4.1
AMAZN GRCRY US,Amazon Grocery US,MATCH,ChatGPT-4.1
REGL THRTRS CALIF*,Regal Theatres California,MATCH,ChatGPT-4.1
REGAL-THTR CA #204,Regal Theatres California,MATCH,ChatGPT-4.1
REGAL THEATRES-CA,Regal Theatres California,MATCH,ChatGPT-4.1
RGL THTRS*CALIFORNIA,Regal Theatres California,MATCH,ChatGPT-4.1
REGALTHEATR CALIF 003,Regal Theatres California,MATCH,ChatGPT-4.1
OLV GRDN CAN*,Olive Garden Canada,MATCH,ChatGPT-4.1
OLIVE-GARDEN CAN #105,Olive Garden Canada,MATCH,ChatGPT-4.1
OLIVEGRDN-CANADA,Olive Garden Canada,MATCH,ChatGPT-4.1
OLV GARDEN CDN*12,Olive Garden Canada,MATCH,ChatGPT-4.1
OLIVE GARDN CA#,Olive Garden Canada,MATCH,ChatGPT-4.1
CHIKFLA ATL ST223,Chick-fil-A Atlanta Store 223,MATCH,ChatGPT-4.1
CHICK-FIL-A*ATL#223,Chick-fil-A Atlanta Store 223,MATCH,ChatGPT-4.1
CHICKFLA ST 223 ATL,Chick-fil-A Atlanta Store 223,MATCH,ChatGPT-4.1
CHCKFLA ATLANTA-223,Chick-fil-A Atlanta Store 223,MATCH,ChatGPT-4.1
CHIK-FIL-A-ATL 223*,Chick-fil-A Atlanta Store 223,MATCH,ChatGPT-4.1
CINEPLX CNM TOR*,Cineplex Cinemas Toronto,MATCH,ChatGPT-4.1
CINEPLEX-CINEMA TORONTO,Cineplex Cinemas Toronto,MATCH,ChatGPT-4.1
CINEMA CINEPLEX TOR#002,Cineplex Cinemas Toronto,MATCH,ChatGPT-4.1
CINEPLX CIN TORONTO*,Cineplex Cinemas Toronto,MATCH,ChatGPT-4.1
CINEPLEX CNMS TRNT,Cineplex Cinemas Toronto,MATCH,ChatGPT-4.1
STRIPE BIZ*SOL,Stripe Business Solutions,MATCH,ChatGPT-4.1
STRP-BSNS SULTIONS,Stripe Business Solutions,MATCH,ChatGPT-4.1
STRIPE BUSINESS-SOLN,Stripe Business Solutions,MATCH,ChatGPT-4.1
STRIPE*BUSNS SOL,Stripe Business Solutions,MATCH,ChatGPT-4.1
STRIPEBUSSOL*,Stripe Business Solutions,MATCH,ChatGPT-4.1
PAPA JOHNS US #019,Papa John's US Store,MATCH,ChatGPT-4.1
PPA JOHNS STR-US,Papa John's US Store,MATCH,ChatGPT-4.1
PJNS US STORE*,Papa John's US Store,MATCH,ChatGPT-4.1
PAPA-JOHN'S*US,Papa John's US Store,MATCH,ChatGPT-4.1
PAPA JNS USSTR,Papa John's US Store,MATCH,ChatGPT-4.1
ARBY'S RSTRNT CHI*,Arby's Restaurant Chicago,MATCH,ChatGPT-4.1
ARBY REST CHICAGO-44,Arby's Restaurant Chicago,MATCH,ChatGPT-4.1
ARBY'S*CHICAGO,Arby's Restaurant Chicago,MATCH,ChatGPT-4.1
ARBYS RESTAURNT*CHI,Arby's Restaurant Chicago,MATCH,ChatGPT-4.1
ARBY-REST CHICAGO#,Arby's Restaurant Chicago,MATCH,ChatGPT-4.1
PEETS COF NY #1023,Peet's Coffee New York,MATCH,ChatGPT-4.1
PEETS-COF*NEWYORK US,Peet's Coffee New York,MATCH,ChatGPT-4.1
PEETS*NEW YORK COFFEE 4342,Peet's Coffee New York,MATCH,ChatGPT-4.1
PEETS CFFEE NY,Peet's Coffee New York,MATCH,ChatGPT-4.1
PEETS COFEE*NYC-0411,Peet's Coffee New York,MATCH,ChatGPT-4.1
BPSTN VANCOUVR #329,BP Station Vancouver,MATCH,ChatGPT-4.1
BP STATION-VAN 0012 CA,BP Station Vancouver,MATCH,ChatGPT-4.1
BPSTAT*VANCOUVER,BP Station Vancouver,MATCH,ChatGPT-4.1
BP STN CAN-VANCOUVER 478,BP Station Vancouver,MATCH,ChatGPT-4.1
